english,bulgarian
danger,опасност
dark,тъмно
day,дни
dead,мъртъв
deal,сделка
dear,уважаеми
death,смърт
decide,реши
decimal,десетични
deep,дълбоко
degree,степен
depend,зависи
describe,опише
desert,пустиня
design,дизайн
determine,определи
develop,разработят
dictionary,речник
did,направих
die,умре
differ,различава
difficult,трудно
direct,директен
discuss,обсъдят
distant,далечен
divide,разделяй
division,разделение
do,правя
doctor,лекар
does,прави
dog,куче
dollar,долар
done,готово
don’t,не
door,врата
double,двойно
down,надолу
draw,изготвя
dream,мечтая
dress,рокля
drink,питие
drive,диск
drop,пуснете
dry,сухо
duck,патица
during,по време на
each,всеки
ear,ухото
early,началото
earth,земята
ease,облекчи
east,изток
eat,яде
edge,ръб
effect,ефект
egg,яйце
eight,осем
either,или
electric,електрически
element,елемент
else,другаде
end,край
enemy,враг
energy,енергия
engine,двигател
enough,достатъчно
enter,въведете
equal,равен
equate,приравняват
especially,особено
even,още
evening,вечер
event,събитие
ever,някога
every,всеки
exact,точната
example,например
except,с изключение на
excite,възбуди
exercise,упражнение
expect,очаквайте
experience,опит
experiment,експеримент
eye,око
face,лицето
fact,всъщност
fair,справедлив
fall,падне
family,семейство
famous,известният
far,доколкото
farm,ферма
fast,бързо
fat,мазнини
father,баща
favor,благоприятства
fear,страх
feed,фуражи
feel,почувствате
feet,фута
fell,падна
felt,чувствах
few,малцина
field,поле
fig,фиг
fight,борба
figure,фигура
fill,попълнете
final,окончателния
find,намерите
fine,глоба
finger,пръста
finish,завършеност
fire,пожар
first,първи
fish,риба
fit,поберат
five,пет
flat,плосък
floor,етаж
flow,дебит
flower,цвете
fly,лети
follow,следвайте
food,храна
foot,крак
for,за
force,сила
forest,гора
form,форма
forward,напред
found,намерени
four,четири
fraction,фракция
free,безплатно
fresh,пресен
friend,приятел
from,от
front,пред
fruit,плодове
full,пълен
fun,забавно
game,игра
garden,градина
gas,газ
gather,събират
gave,даде
general,общо
gentle,нежен
get,получите
girl,момиче
give,даде
glad,радвам
glass,стъкло
go,отидете
gold,злато
gone,изчезнал
good,добър
got,имам
govern,управлява
grand,бона
grass,трева
gray,сив
great,голям
green,зелено
grew,израснал
ground,земята
group,група
grow,растат
guess,"предполагам, че"
guide,ръководят
gun,пистолет
had,имаше
hair,коса
half,половината
hand,ръка
happen,се случи
happy,щастлив
hard,трудно
has,има
hat,шапка
have,имат
he,той
head,главата
hear,слушайте
heard,чух
heart,сърце
heat,топлина
heavy,тежък
held,задържано
help,помогне
her,си
here,тук
high,високо
hill,хълм
him,го
his,си
history,история
hit,хит
hold,държа
hole,дупка
home,начало
hope,"надявам се,"
horse,кон
hot,горещ
hour,часа
house,къща
how,как
huge,огромен
human,човешкото
hundred,сто
hunt,лов
hurry,побързайте
i,i
ice,лед
idea,идея
if,ако
imagine,представете си
in,в
inch,инч
include,включва
indicate,посочете
industry,промишленост
insect,насекоми
instant,миг
instrument,инструмент
interest,интерес
invent,измислят
iron,желязо
is,е
island,остров
it,тя
job,работа
join,присъединят
joy,радост
jump,скочи
just,просто
keep,запази
kept,съхраняват
key,ключ
kill,убие
kind,вид
king,цар
knew,знаех
know,знаете
lady,дама
lake,езеро
land,земя
language,език
large,голям
last,последно
late,късно
laugh,смях
law,закон
lay,лежеше
lead,доведе
learn,научат
least,-малко
leave,напусне
led,водена
left,наляво
leg,крак
length,дължина
less,по-малко
let,нека
letter,писмо
level,ниво
lie,лъжа
life,живот
lift,повдигане
light,светлина
like,като
line,онлайн
liquid,течност
list,списък
listen,слушате
little,малко
live,живея
locate,намерете
log,влезете
lone,самотен
long,дълго
look,потърсите
lost,загубени
lot,много
loud,силен
love,обичам
low,ниска
machine,машина
made,направи
magnet,магнит
main,основната
major,основен
make,направи
man,мъж
many,много
map,карта
mark,марка
market,пазар
mass,маса
master,майстор
match,мач
material,материали
matter,материя
may,може
me,мен
mean,означава
meant,означаваше
measure,измерва
meat,месо
meet,запознайте
melody,мелодия
men,мъже
metal,метал
method,метод
middle,средна
might,мощ
mile,мили
milk,мляко
million,милиона
mind,ума
mine,мина
minute,минути
miss,мис
mix,смесвам
modern,модерна
molecule,молекула
moment,момент
money,пари
month,месеца
moon,луна
more,още
morning,сутрин
most,най-
mother,майка
motion,предложение
mount,монтиране
mountain,планина
mouth,устата
move,ход
much,много
multiply,размножават
music,музика
must,трябва
my,ми
name,име
nation,нация
natural,естествено
nature,природата
near,в близост
necessary,необходимо
neck,шията
need,трябва
neighbor,съсед
never,никога не
new,нова
next,следващата
night,нощ
nine,девет
no,не
noise,шум
noon,обяд
nor,нито
north,на север
nose,носа
note,бележка
nothing,нищо
notice,предизвестие
noun,съществително
now,сега
number,брой
numeral,цифра
object,обект
observe,спазвайте
occur,възникне
ocean,океана
of,от
off,разстояние
offer,оферта
office,офис
often,често
oh,о
oil,масло
old,стар
on,на
once,веднъж
one,един
only,само
open,отворен
operate,работи
opposite,противоположна
or,или
order,за
organ,органна
original,първоначалното
other,други
our,ни
out,от
over,над
own,собствена
oxygen,кислород
page,страница
paint,боя
pair,двойка
paper,хартия
paragraph,параграф
parent,родител
part,част
particular,специално
party,парти
pass,мине
past,минало
path,път
pattern,модел
pay,заплати
people,хора
perhaps,може би
period,период
person,човек
phrase,фрази
pick,вземете
picture,снимка
piece,парче
pitch,стъпка
place,място
plain,обикновен
plan,план
plane,самолет
planet,планета
plant,растителна
play,играе
please,моля
plural,множествено число
poem,стихотворение
point,точка
poor,лошо
populate,пренесат
port,порт
pose,представляват
position,позиция
possible,възможно
post,мнение
pound,лира
power,мощност
practice,практика
prepare,подготви
present,настоящото
press,натиснете
pretty,доста
print,печат
probable,вероятен
problem,проблем
process,процес
produce,производство
product,продукт
proper,правилното
property,имот
protect,защитавам
prove,докаже
provide,предоставят
pull,дръпнете
push,тласък
put,постави
quart,кварта
question,въпрос
quick,бърз
quiet,тих
quite,съвсем
quotient,коефициент
race,раса
radio,радио
rail,железопътния
rain,дъжд
raise,повишаване на
ran,завтече
range,диапазон
rather,по-скоро
reach,достигне
read,прочети
ready,готова
real,недвижими
reason,причина
receive,получавате
record,рекорд
red,червено
region,област
remember,спомням си
repeat,повторете
reply,отговаряте
represent,представляват
require,изисква
rest,почивка
result,резултат
rich,богат
ride,езда
right,полето
ring,пръстен
rise,покачва
river,река
road,път
rock,рок
roll,ролка
room,стая
root,корен
rope,въже
rose,роза
round,кръг
row,ред
rub,rub
rule,правило
run,run
safe,безопасно
said,каза
sail,платно
salt,сол
same,същата
sand,пясък
sat,сб
save,запишете
saw,трион
say,каже
scale,мащаб
school,училище
science,науката
score,резултат
sea,море
search,търсене
season,сезон
seat,седалка
second,втора
section,раздел
see,виждам
seed,семена
seem,изглежда
segment,сегмент
select,изберете
self,самостоятелно
sell,продават
send,изпрати
sense,смисъл
sent,изпрати
sentence,изречение
separate,отделно
serve,послужи
set,комплект
settle,уредят
seven,седем
several,няколко
shall,трябва
shape,форма
share,акции
sharp,рязък
she,тя
sheet,лист
shell,черупка
shine,блясък
ship,кораб
shoe,обувки
shop,магазин
shore,брега
short,кратко
should,трябва
shoulder,рамото
shout,вик
show,покажи
side,страна
sight,зрението
sign,знак
silent,мълчалив
silver,сребро
similar,подобна
simple,прост
since,тъй като
sing,пея
single,единичен
sister,сестра
sit,седя
six,шест
size,размер
skill,умения
skin,кожата
sky,небе
slave,роб
sleep,сън
slip,приплъзване
slow,бавен
small,малък
smell,миризма
smile,усмивка
snow,сняг
so,така
soft,мека
soil,почвата
soldier,войник
solution,разтвор
solve,решаване
some,някои
son,син
song,песен
soon,скоро
sound,звучи
south,на юг
space,пространство
speak,говори
special,специален
speech,реч
speed,скорост
spell,правописа
spend,прекарат
spoke,говорих
spot,място
spread,разпространение
spring,пролетта
square,квадрат
stand,стоя
star,звезда
start,начало
state,състояние
station,станция
stay,престой
stead,вместо
steam,пара
steel,стомана
step,стъпка
stick,стик
still,още
stone,камък
stood,стоеше
stop,спрете
store,магазин
story,история
straight,направо
strange,странен
stream,поток
street,улица
stretch,участък
string,низ
strong,силен
student,студент
study,проучване
subject,заглавие
substance,вещество
subtract,изважда
success,успех
such,като
sudden,внезапна
suffix,наставка
sugar,захар
suggest,предлагам
suit,костюм
summer,лято
sun,слънце
supply,доставка
support,подкрепа
sure,сигурен
surface,повърхност
surprise,изненада
swim,плуване
syllable,сричка
symbol,символ
system,система
table,маса
tail,опашка
take,предприеме
talk,приказки
tall,висок
teach,преподават
team,екип
teeth,зъби
tell,кажете
temperature,температура
ten,десет
term,терминът
test,тест
than,от
thank,благодаря
that,че
the,на
their,си
them,тях
then,след това
there,там
these,тези
they,те
thick,дебела
thin,тънък
thing,нещо
think,мисля
third,трети
this,тази
those,тези
though,макар
thought,мислех
thousand,хиляди
three,три
through,чрез
throw,хвърлят
thus,по този начин
tie,вратовръзка
time,време
tiny,мъничък
tire,гума
to,да
together,заедно
told,каза
tone,тон
too,твърде
took,взе
tool,инструмент
top,отгоре
total,общият брой на
touch,докосвайте
toward,към
town,град
track,песен
trade,търговия
train,влак
travel,пътуване
tree,дърво
triangle,триъгълник
trip,пътуване
trouble,беда
truck,камион
true,вярно
try,опитайте
tube,тръба
turn,ред
twenty,двадесет
two,две
type,тип
under,под
unit,единица
until,докато
up,нагоре
us,нас
use,употреба
usual,обичайната
valley,долина
value,стойност
vary,варира
verb,глагол
very,много
view,предвид
village,село
visit,посещение
voice,глас
vowel,гласна
wait,изчакайте
walk,ходи
wall,стена
want,искам
war,война
warm,топло
was,е
wash,измиване
watch,гледате
water,вода
wave,вълна
way,начин
we,ние
wear,износване
weather,прогноза за времето
week,седмица
weight,тегло
well,добре
went,отидох
were,бяха
west,west
what,какво
wheel,колело
when,когато
where,където
whether,дали
which,които
while,докато
white,бяло
who,които
whole,цялата
whose,чиято
why,защо
wide,широк
wife,жена
wild,див
will,ще
win,победа
wind,вятър
window,прозорец
wing,крило
winter,зимата
wire,тел
wish,иска
with,с
woman,жена
women,жените
wonder,чудя
won’t,не ще
wood,дърво
word,дума
work,работа
world,свят
would,би
write,напиши
written,писмен
wrong,грешна
wrote,пише
yard,двор
year,година
yellow,жълт
yes,да
yet,още
you,ви
young,млад
your,си
