english,malaysian
face,muka
fact,fakta
fair,adil
fall,jatuh
family,keluarga
famous,terkenal
far,jauh
farm,ladang
fast,cepat
fat,lemak
father,bapa
favor,memihak kepada
fear,ketakutan
feed,makanan
feel,berasa
feet,kaki
fell,jatuh
felt,merasakan
few,beberapa
field,bidang
fig,ara
fight,perjuangan
figure,angka
fill,mengisi
final,akhir
find,mendapati
fine,denda
finger,jari
finish,penamat
fire,api
first,pertama
fish,ikan
fit,muat
five,lima
flat,rata
floor,lantai
flow,mengalir
flower,bunga
fly,terbang
follow,mengikuti
food,makanan
foot,kaki
for,untuk
force,kuasa
forest,hutan
form,bentuk
forward,ke hadapan
found,didapati
four,empat
fraction,pecahan
free,percuma
fresh,segar
friend,rakan
from,daripada
front,hadapan
fruit,buah-buahan
full,penuh
fun,menyeronokkan
game,permainan
garden,taman
gas,gas
gather,mengumpul
gave,memberi
general,umum
gentle,lembut
get,mendapatkan
girl,gadis
give,memberi
glad,gembira
glass,kaca
go,pergi
gold,emas
gone,pergi
good,baik
got,mendapat
govern,mentadbir
grand,besar
grass,rumput
gray,kelabu
great,besar
green,hijau
grew,berkembang
ground,tanah
group,kumpulan
grow,berkembang
guess,meneka
guide,membimbing
gun,pistol
had,mempunyai
hair,rambut
half,setengah
hand,tangan
happen,berlaku
happy,gembira
hard,keras
has,mempunyai
hat,topi
have,mempunyai
he,beliau
head,kepala
hear,mendengar
heard,mendengar
heart,jantung
heat,haba
heavy,berat
held,diadakan
help,membantu
her,beliau
here,di sini
high,tinggi
hill,bukit
him,dia
his,beliau
history,sejarah
hit,melanda
hold,memegang
hole,lubang
home,rumah
hope,berharap
horse,kuda
hot,panas
hour,jam
house,rumah
how,bagaimana
huge,besar
human,manusia
hundred,ratus
hunt,memburu
hurry,terburu-buru
i,saya
ice,ais
idea,idea
if,jika
imagine,bayangkan
in,dalam
inch,inci
include,termasuk
indicate,menunjukkan
industry,industri
insect,serangga
instant,segera
instrument,instrumen
interest,kepentingan
invent,mengada-adakan
iron,besi
is,adalah
island,pulau
it,ia
job,kerja
join,menyertai
joy,kegembiraan
jump,melompat
just,hanya
keep,menjaga
kept,disimpan
key,utama
kill,membunuh
kind,jenis
king,raja
knew,tahu
know,tahu
lady,wanita
lake,tasik
land,tanah
language,bahasa
large,besar
last,lalu
late,lewat
laugh,ketawa
law,undang-undang
lay,meletakkan
lead,membawa
learn,belajar
least,kurangnya
leave,meninggalkan
led,membawa
left,meninggalkan
leg,kaki
length,panjang
less,kurang
let,mari
letter,surat
level,tahap
lie,dusta
life,kehidupan
lift,lif
light,cahaya
like,seperti
line,talian
liquid,cecair
list,senarai
listen,mendengar
little,kecil
live,hidup
locate,mengesan
log,log
lone,tunggal
long,lama
look,melihat
lost,hilang
lot,banyak
loud,kuat
love,suka
low,rendah
machine,mesin
made,dibuat
magnet,magnet
main,utama
major,utama
make,membuat
man,lelaki
many,banyak
map,peta
mark,tanda
market,pasaran
mass,besar-besaran
master,induk
match,perlawanan
material,bahan
matter,perkara
may,boleh
me,saya
mean,bermakna
meant,bermakna
measure,mengukur
meat,daging
meet,memenuhi
melody,melodi
men,lelaki
metal,logam
method,kaedah
middle,pertengahan
might,mungkin
mile,batu
milk,susu
million,juta
mind,fikiran
mine,saya
minute,minit
miss,miss
mix,campuran
modern,moden
molecule,molekul
moment,masa
money,wang
month,bulan
moon,bulan
more,lebih
morning,pagi
most,paling
mother,ibu
motion,gerakan
mount,gunung
mountain,gunung
mouth,mulut
move,langkah
much,banyak
multiply,membiak
music,muzik
must,mesti
my,saya
name,nama
nation,negara
natural,semula jadi
nature,alam semula jadi
near,berhampiran
necessary,perlu
neck,leher
need,perlu
neighbor,jiran
never,tidak pernah
new,baru
next,seterusnya
night,malam
nine,sembilan
no,ada
noise,bunyi
noon,tengah hari
nor,ataupun
north,utara
nose,hidung
note,nota
nothing,apa-apa
notice,notis
noun,kata nama
now,kini
number,bilangan
numeral,angka
object,objek
observe,memerhatikan
occur,berlaku
ocean,lautan
of,daripada
off,off
offer,tawaran
office,pejabat
often,sering
oh,oh
oil,minyak
old,lama
on,pada
once,sekali
one,satu
only,hanya
open,terbuka
operate,beroperasi
opposite,bertentangan
or,atau
order,perintah
organ,organ
original,asal
other,lain
our,kami
out,keluar
over,lebih
own,sendiri
oxygen,oksigen
page,laman
paint,cat
pair,pasangan
paper,kertas
paragraph,perenggan
parent,ibu bapa
part,sebahagian
particular,tertentu
party,pihak
pass,lulus
past,lalu
path,jalan
pattern,corak
pay,membayar
people,orang
perhaps,mungkin
period,tempoh
person,orang
phrase,frasa
pick,mengambil
picture,gambar
piece,sekeping
pitch,padang
place,tempat
plain,dataran
plan,pelan
plane,kapal terbang
planet,planet
plant,tumbuhan
play,bermain
please,sila
plural,majmuk
poem,puisi
point,titik
poor,miskin
populate,mempopulasikan
port,pelabuhan
pose,menimbulkan
position,kedudukan
possible,mungkin
post,jawatan
pound,pound
power,kuasa
practice,amalan
prepare,menyediakan
present,sekarang
press,akhbar
pretty,cantik
print,cetak
probable,kemungkinan
problem,masalah
process,proses
produce,menghasilkan
product,produk
proper,betul
property,harta
protect,melindungi
prove,membuktikan
provide,menyediakan
pull,menarik
push,push
put,meletakkan
quart,kuart
question,soalan
quick,cepat
quiet,tenang
quite,agak
quotient,hasil bahagi
race,bangsa
radio,sejuk
rail,kereta api
rain,hujan
raise,meningkatkan
ran,berlari
range,pelbagai
rather,bukan
reach,mencapai
read,membaca
ready,bersedia
real,sebenar
reason,sebab
receive,menerima
record,rekod
red,merah
region,rantau
remember,ingat
repeat,ulangan
reply,membalas
represent,mewakili
require,memerlukan
rest,selebihnya
result,hasil
rich,kaya
ride,perjalanan
right,betul
ring,cincin
rise,naik
river,sungai
road,jalan raya
rock,batuan
roll,daftar
room,bilik
root,akar
rope,tali
rose,meningkat
round,pusingan
row,berturut-turut
rub,sapu
rule,peraturan
run,jangka
safe,selamat
said,berkata
sail,belayar
salt,garam
same,sama
sand,pasir
sat,sab
save,menyelamatkan
saw,saw
say,mengatakan
scale,skala
school,sekolah
science,sains
score,perincian
sea,laut
search,carian
season,musim
seat,tempat duduk
second,kedua
section,seksyen
see,lihat
seed,benih
seem,seolah-olah
segment,segmen
select,pilih
self,diri
sell,menjual
send,menghantar
sense,rasa
sent,dihantar
sentence,hukuman
separate,berasingan
serve,berkhidmat
set,set
settle,menyelesaikan
seven,tujuh
several,beberapa
shall,hendaklah
shape,bentuk
share,saham
sharp,tajam
she,dia
sheet,lembaran
shell,shell
shine,bersinar
ship,kapal
shoe,kasut
shop,kedai
shore,pantai
short,pendek
should,perlu
shoulder,bahu
shout,jeritan
show,persembahan
side,sebelah
sight,penglihatan
sign,tanda
silent,senyap
silver,perak
similar,sama
simple,mudah
since,sejak
sing,menyanyi
single,tunggal
sister,kakak
sit,duduk
six,enam
size,saiz
skill,kemahiran
skin,kulit
sky,langit
slave,hamba
sleep,tidur
slip,slip
slow,perlahan
small,kecil
smell,bau
smile,senyuman
snow,salji
so,jadi
soft,lembut
soil,tanah
soldier,askar
solution,penyelesaian
solve,menyelesaikan
some,beberapa
son,anak
song,lagu
soon,tidak lama lagi
sound,bunyi
south,selatan
space,ruang
speak,bercakap
special,khas
speech,ucapan
speed,kelajuan
spell,mengeja
spend,menghabiskan
spoke,bercakap
spot,tempat
spread,penyebaran
spring,musim bunga
square,persegi
stand,berdiri
star,bintang
start,permulaan
state,negeri
station,stesen
stay,tinggal
stead,kedudukan
steam,stim
steel,keluli
step,langkah
stick,kayu
still,masih
stone,batu
stood,berdiri
stop,berhenti
store,kedai
story,cerita
straight,lurus
strange,pelik
stream,aliran
street,jalan
stretch,regangan
string,rentetan
strong,kuat
student,pelajar
study,kajian
subject,tertakluk
substance,bahan
subtract,tolak
success,kejayaan
such,seperti
sudden,secara tiba-tiba
suffix,akhiran
sugar,gula
suggest,mencadangkan
suit,saman
summer,musim panas
sun,matahari
supply,bekalan
support,sokongan
sure,memastikan
surface,permukaan
surprise,kejutan
swim,berenang
syllable,suku kata
symbol,simbol
system,sistem
table,jadual
tail,ekor
take,mengambil
talk,bercakap
tall,tinggi
teach,mengajar
team,pasukan
teeth,gigi
tell,memberitahu
temperature,suhu
ten,sepuluh
term,jangka
test,ujian
than,daripada
thank,terima
that,yang
the,yang
their,mereka
them,mereka
then,kemudian
there,ada
these,ini
they,mereka
thick,tebal
thin,nipis
thing,perkara
think,berfikir
third,ketiga
this,ini
those,yang
though,walaupun
thought,fikir
thousand,ribu
three,tiga
through,melalui
throw,membuang
thus,dengan itu
tie,tali leher
time,masa
tiny,kecil
tire,tayar
to,kepada
together,bersama-sama
told,memberitahu
tone,nada
too,terlalu
took,mengambil
tool,alat
top,atas
total,jumlah
touch,menyentuh
toward,ke arah
town,bandar
track,trek
trade,perdagangan
train,kereta api
travel,perjalanan
tree,pokok
triangle,segitiga
trip,perjalanan
trouble,masalah
truck,trak
true,benar
try,cuba
tube,tiub
turn,seterusnya
twenty,dua puluh
two,dua
type,jenis
under,di bawah
unit,unit
until,sehingga
up,sehingga
us,kami
use,penggunaan
usual,biasa
valley,lembah
value,nilai
vary,berbeza-beza
verb,kata kerja
very,sangat
view,pandangan
village,kampung
visit,lawatan
voice,suara
vowel,vokal
wait,tunggu
walk,berjalan
wall,dinding
want,mahu
war,perang
warm,panas
was,adalah
wash,mencuci
watch,menonton
water,air
wave,gelombang
way,cara
we,kami
wear,memakai
weather,cuaca
week,minggu
weight,berat badan
well,baik
went,pergi
were,adalah
west,barat
what,apa
wheel,roda
when,apabila
where,di mana
whether,sama ada
which,yang
while,manakala
white,putih
who,yang
whole,keseluruhan
whose,yang
why,mengapa
wide,luas
wife,isteri
wild,liar
will,akan
win,kemenangan
wind,angin
window,tetingkap
wing,sayap
winter,musim sejuk
wire,wayar
wish,ingin
with,dengan
woman,wanita
women,wanita
wonder,tertanya-tanya
won’t,tidak akan
wood,kayu
word,perkataan
work,kerja
world,dunia
would,akan
write,menulis
written,bertulis
wrong,salah
wrote,menulis
yard,yard
year,tahun
yellow,kuning
yes,ya
yet,belum
you,anda
young,muda
your,anda
