english,telugu
record,రికార్డు
red,ఎరుపు
region,ప్రాంతం
remember,గుర్తు
repeat,రిపీట్
reply,ప్రత్యుత్తరం
represent,య
require,అవసరం
rest,మిగిలిన
result,ఫలితంగా
rich,రిచ్
ride,రైడ్
right,కుడి
ring,రింగ్
rise,పెరగడం
river,నది
road,రోడ్డు
rock,రాక్
roll,రోల్
room,గది
root,రూట్
rope,తాడు
rose,గులాబీ
round,రౌండ్
row,వరుసగా
rub,రబ్
rule,పాలన
run,రన్
safe,సురక్షితంగా
said,అన్నాడు
sail,ప్రయాణమయ్యారు
salt,ఉప్పు
same,అదే
sand,ఇసుక
sat,శని
save,సేవ్
saw,రంపపు
say,సే
scale,స్థాయి
school,పాఠశాల
science,సైన్స్
score,స్కోరు
sea,సముద్ర
search,శోధన
season,సీజన్
seat,సీటు
second,రెండవ
section,విభాగం
see,చూడండి
seed,విత్తనం
seem,అనిపించవచ్చు
segment,సెగ్మెంట్
select,ఎంచుకోండి
self,స్వీయ
sell,అమ్మే
send,పంపండి
sense,భావం
sent,పంపిన
sentence,వాక్యం
separate,ప్రత్యేక
serve,సర్వ్
set,సెట్
settle,స్థిరపడేందుకు
seven,ఏడు
several,అనేక
shall,వలెను
shape,ఆకారం
share,వాటా
sharp,పదునైన
she,ఆమె
sheet,షీట్
shell,షెల్
shine,బాగా చేయు
ship,ఓడ
shoe,షూ
shop,షాప్
shore,తీరం
short,చిన్న
should,తప్పక
shoulder,భుజం
shout,అరవడం
show,షో
side,వైపు
sight,దృష్టి
sign,సైన్
silent,నిశ్శబ్ద
silver,వెండి
similar,ఇదే
simple,సాధారణ
since,నుండి
sing,పాడే
single,ఒకే
sister,సోదరి
sit,కూర్చుని
six,ఆరు
size,పరిమాణం
skill,నైపుణ్యం
skin,చర్మం
sky,ఆకాశంలో
slave,బానిస
sleep,నిద్ర
slip,స్లిప్
slow,నెమ్మదిగా
small,చిన్న
smell,వాసన
smile,చిరునవ్వు
snow,మంచు
so,కాబట్టి
soft,సాఫ్ట్
soil,మట్టి
soldier,సైనికుడు
solution,పరిష్కారం
solve,పరిష్కరించడానికి
some,కొన్ని
son,కుమారుడు
song,పాట
soon,త్వరలో
sound,శబ్దము
south,దక్షిణ
space,స్పేస్
speak,మాట్లాడటం
special,ప్రత్యేక
speech,ప్రసంగం
speed,వేగం
spell,అక్షరక్రమ
spend,ఖర్చు
spoke,మాట్లాడారు
spot,స్పాట్
spread,స్ప్రెడ్
spring,వసంత
square,చదరపు
stand,స్టాండ్
star,స్టార్
start,ప్రారంభం
state,రాష్ట్ర
station,స్టేషన్
stay,ఉండడానికి
stead,మారుగా
steam,ఆవిరి
steel,స్టీల్
step,అడుగు
stick,స్టిక్
still,ఇప్పటికీ
stone,రాయి
stood,నిలిచి
stop,ఆపడానికి
store,స్టోర్
story,కథ
straight,నేరుగా
strange,వింత
stream,స్ట్రీమ్
street,వీధి
stretch,సాగిన
string,స్ట్రింగ్
strong,బలమైన
student,విద్యార్థి
study,అధ్యయనం
subject,విషయం
substance,పదార్ధం
subtract,వ్యవకలనం
success,విజయం
such,ఇటువంటి
sudden,ఆకస్మిక
suffix,ప్రత్యయం
sugar,చక్కెర
suggest,సూచిస్తున్నాయి
suit,దావా
summer,వేసవి
sun,సూర్యుడు
supply,సరఫరా
support,మద్దతు
sure,ఖచ్చితంగా
surface,ఉపరితల
surprise,ఆశ్చర్యం
swim,ఈత
syllable,అక్షరం
symbol,చిహ్నం
system,వ్యవస్థ
table,పట్టిక
tail,తోక
take,పడుతుంది
talk,చర్చ
tall,పొడవైన
teach,బోధించడానికి
team,జట్టు
teeth,పళ్ళు
tell,చెప్పండి
temperature,ఉష్ణోగ్రత
ten,పది
term,పదం
test,పరీక్ష
than,కంటే
thank,ధన్యవాదాలు
that,ఆ
the,ది
their,వారి
them,వాటిని
then,అప్పుడు
there,అక్కడ
these,ఈ
they,వారు
thick,మందపాటి
thin,సన్నని
thing,విషయం
think,అనుకుంటున్నాను
third,మూడో
this,ఈ
those,ఆ
though,అయితే
thought,ఆలోచన
thousand,వేల
three,మూడు
through,ద్వారా
throw,త్రో
thus,అందువలన
tie,టై
time,సమయం
tiny,చిన్న
tire,టైర్
to,కు
together,కలిసి
told,చెప్పారు
tone,టోన్
too,చాలా
took,పట్టింది
tool,సాధనం
top,టాప్
total,మొత్తం
touch,టచ్
toward,వైపు
town,పట్టణం
track,ట్రాక్
trade,వాణిజ్య
train,రైలు
travel,ప్రయాణ
tree,చెట్టు
triangle,త్రిభుజం
trip,యాత్ర
trouble,ఇబ్బంది
truck,ట్రక్
true,నిజమైన
try,ప్రయత్నించండి
tube,ట్యూబ్
turn,మలుపు
twenty,ఇరవై
two,రెండు
type,రకం
under,కింద
unit,యూనిట్
until,వరకు
up,అప్
us,మాకు
use,ఉపయోగం
usual,సాధారణ
valley,లోయలో
value,విలువ
vary,మారుతుంటాయి
verb,క్రియ
very,చాలా
view,వీక్షణ
village,గ్రామం
visit,పర్యటన
voice,వాయిస్
vowel,అచ్చు
wait,వేచి
walk,నడిచి
wall,గోడ
want,కావలసిన
war,యుద్ధం
warm,వెచ్చని
was,ఉంది
wash,వాష్
watch,చూడటానికి
water,నీటి
wave,అల
way,మార్గం
we,మేము
wear,ధరిస్తారు
weather,వాతావరణ
week,వారం
weight,బరువు
well,బాగా
went,వెళ్ళింది
were,ఉన్నాయి
west,పశ్చిమ
what,ఏమి
wheel,చక్రం
when,ఉన్నప్పుడు
where,పేరు
whether,లేదో
which,ఇది
while,అయితే
white,తెలుపు
who,ఎవరు
whole,మొత్తం
whose,దీని
why,ఎందుకు
wide,విస్తృత
wife,భార్య
wild,అడవి
will,రెడీ
win,విజయం
wind,గాలి
window,విండో
wing,వింగ్
winter,శీతాకాలంలో
wire,వైర్
wish,అనుకుంటున్నారా
with,తో
woman,మహిళ
women,మహిళలు
wonder,ఆశ్చర్యానికి
won’t,రెడీ
wood,చెక్క
word,పదం
work,పని
world,ప్రపంచ
would,చేస్తాను
write,రాయడానికి
written,రాసిన
wrong,తప్పు
wrote,వ్రాసారు
yard,యార్డ్
year,సంవత్సరం
yellow,పసుపు
yes,అవును
yet,ఇంకా
you,మీరు
young,యువ
your,మీ
